"Model","Slope_group","k","AIC","Delta_AIC"
"Piecewise","Early: TM | TMd21 | SOL | IC  |  Late: TM & SOL | TMd21 | IC",11,172.720733177705,0
"Piecewise","Early: TM & SOL | TMd21 | IC  |  Late: TM | TMd21 | SOL | IC",11,172.963641847277,0.242908669572159
"Piecewise","Early: TM | TMd21 & IC | SOL  |  Late: TM & SOL | TMd21 | IC",10,172.979860956046,0.259127778341679
"Piecewise","Early: TM & SOL | TMd21 & IC  |  Late: TM | TMd21 | SOL | IC",10,173.219527364113,0.49879418640873
"Piecewise","Early: TM | TMd21 & IC | SOL  |  Late: TM & SOL | TMd21 & IC",9,173.537205419159,0.816472241454164
"Piecewise","Early: TM | TMd21 | SOL | IC  |  Late: TM & SOL | TMd21 & IC",10,173.767367666855,1.04663448915053
"Piecewise","Early: TM & SOL | TMd21 & IC  |  Late: TM | TMd21 & IC | SOL",9,173.773253725575,1.05252054787013
"Piecewise","Early: TM & SOL | TMd21 | IC  |  Late: TM | TMd21 & IC | SOL",10,174.005914053406,1.28518087570177
"Piecewise","Early: TM & SOL | TMd21 | IC  |  Late: TM & SOL | TMd21 | IC",10,174.16114997047,1.44041679276555
"Piecewise","Early: TM | TMd21 | SOL | IC  |  Late: TM | TMd21 | SOL & IC",11,174.347858402608,1.62712522490298
"Piecewise","Early: TM | TMd21 | SOL | IC  |  Late: TM | TMd21 | SOL | IC",12,174.374145878849,1.65341270114482
"Piecewise","Early: TM & SOL | TMd21 & IC  |  Late: TM & SOL | TMd21 | IC",9,174.374784670224,1.65405149251956
"Piecewise","Early: TM & SOL | TMd21 | IC  |  Late: TM & IC | TMd21 | SOL",10,174.385809158699,1.66507598099443
"Piecewise","Early: TM | TMd21 | SOL | IC  |  Late: TM & SOL & IC | TMd21",10,174.53842804724,1.81769486953539
"Piecewise","Early: TM | TMd21 & IC | SOL  |  Late: TM | TMd21 | SOL | IC",11,174.637907800668,1.91717462296293
"Piecewise","Early: TM | TMd21 | SOL & IC  |  Late: TM | TMd21 | SOL & IC",10,174.693380939121,1.97264776141643
"Piecewise","Early: TM | TMd21 | SOL & IC  |  Late: TM & IC | TMd21 | SOL",10,174.724846075156,2.00411289745176
"Piecewise","Early: TM | TMd21 | SOL & IC  |  Late: TM | TMd21 | SOL | IC",11,174.769601398749,2.04886822104453
"Piecewise","Early: TM | TMd21 | SOL & IC  |  Late: TM & SOL & IC | TMd21",9,174.85377401151,2.13304083380547
"Piecewise","Early: TM & SOL | TMd21 & IC  |  Late: TM & SOL | TMd21 & IC",8,174.881349025256,2.1606158475515
"Piecewise","Early: TM & SOL | TMd21 | IC  |  Late: TM & SOL | TMd21 & IC",9,175.146573386512,2.42584020880761
"Piecewise","Early: TM & SOL | TMd21 | IC  |  Late: TM | TMd21 | SOL & IC",10,175.161173079064,2.44043990135978
"Piecewise","Early: TM | TMd21 | SOL & IC  |  Late: TM & SOL | TMd21 | IC",10,175.182615832617,2.46188265491281
"Piecewise","Early: TM | TMd21 & IC | SOL  |  Late: TM | TMd21 & IC | SOL",10,175.200423336661,2.47969015895677
"Piecewise","Early: TM | TMd21 | SOL | IC  |  Late: TM | TMd21 & IC | SOL",11,175.427015300521,2.70628212281622
"Piecewise","Early: TM & IC | TMd21 | SOL  |  Late: TM | TMd21 | SOL & IC",10,175.762734094345,3.04200091664021
"Piecewise","Early: TM & SOL & IC | TMd21  |  Late: TM | TMd21 | SOL & IC",9,175.767364067488,3.04663088978299
"Piecewise","Early: TM & SOL & IC | TMd21  |  Late: TM | TMd21 | SOL | IC",10,175.878661645094,3.15792846738958
"Piecewise","Early: TM & SOL | TMd21 | IC  |  Late: TM & SOL & IC | TMd21",9,175.902313834665,3.18158065696031
"Piecewise","Early: TM & IC | TMd21 | SOL  |  Late: TM & SOL | TMd21 | IC",10,176.092326847467,3.37159366976195
"Piecewise","Early: TM | TMd21 | SOL | IC  |  Late: TM & IC | TMd21 | SOL",11,176.319637163708,3.59890398600328
"Piecewise","Early: TM & SOL & IC | TMd21  |  Late: TM & SOL | TMd21 | IC",9,176.984825361697,4.26409218399192
"Piecewise","Early: TM & IC | TMd21 | SOL  |  Late: TM | TMd21 | SOL | IC",11,177.6798586302,4.95912545249575
"Piecewise","Early: TM & SOL & IC | TMd21  |  Late: TM & SOL & IC | TMd21",8,181.560407620017,8.83967444231223
"Piecewise","Early: TM | TMd21 & SOL & IC  |  Late: TM | TMd21 & SOL | IC",9,182.459736749551,9.73900357184661
"Piecewise","Early: TM | TMd21 & SOL & IC  |  Late: TM | TMd21 & SOL & IC",8,182.777864862134,10.0571316844298
"Piecewise","Early: TM | TMd21 & SOL | IC  |  Late: TM | TMd21 & SOL & IC",9,182.906477416095,10.1857442383909
"Piecewise","Early: TM | TMd21 & IC | SOL  |  Late: TM | TMd21 & SOL & IC",9,183.028753176981,10.3080199992759
