"id","AIC","k","bp_TM","bp_TMd21","bp_SOL","bp_IC","Early_group","Late_group","Delta_AIC"
3376,215.581716884519,6,28,28,28,28,"TM & TMd21 & SOL & IC","TM & TMd21 & SOL & IC",0
3421,217.308348594139,7,28,28,28,28,"TM & TMd21 | SOL & IC","TM & TMd21 & SOL & IC",1.72663170961923
3379,217.321359557862,7,28,28,28,28,"TM & TMd21 & SOL & IC","TM & TMd21 | SOL & IC",1.73964267334222
3378,217.368280227041,7,28,28,28,28,"TM & TMd21 & SOL & IC","TM & TMd21 & IC | SOL",1.78656334252142
3511,217.410982333158,7,28,28,28,28,"TM | TMd21 & SOL & IC","TM & TMd21 & SOL & IC",1.82926544863903
3391,217.431180344027,7,28,28,28,28,"TM & TMd21 & SOL | IC","TM & TMd21 & SOL & IC",1.84946345950772
3385,217.474589719677,7,28,28,28,28,"TM & TMd21 & SOL & IC","TM | TMd21 & SOL & IC",1.89287283515802
3381,217.512958286345,7,28,28,28,28,"TM & TMd21 & SOL & IC","TM & SOL & IC | TMd21",1.93124140182579
3406,217.535389760845,7,28,28,28,28,"TM & TMd21 & IC | SOL","TM & TMd21 & SOL & IC",1.9536728763255
3451,217.545182762897,7,28,28,28,28,"TM & SOL & IC | TMd21","TM & TMd21 & SOL & IC",1.96346587837809
3384,217.551771837156,7,28,28,28,28,"TM & TMd21 & SOL & IC","TM & IC | TMd21 & SOL",1.97005495263673
3466,217.552629401979,7,28,28,28,28,"TM & SOL | TMd21 & IC","TM & TMd21 & SOL & IC",1.9709125174592
3377,217.565642778094,7,28,28,28,28,"TM & TMd21 & SOL & IC","TM & TMd21 & SOL | IC",1.98392589357474
3382,217.567946210421,7,28,28,28,28,"TM & TMd21 & SOL & IC","TM & SOL | TMd21 & IC",1.98622932590138
3496,217.581280868287,7,28,28,28,28,"TM & IC | TMd21 & SOL","TM & TMd21 & SOL & IC",1.99956398376796
3472,218.807705795411,8,28,28,28,28,"TM & SOL | TMd21 & IC","TM & SOL | TMd21 & IC",3.22598891089166
3392,218.876573123422,8,28,28,28,28,"TM & TMd21 & SOL | IC","TM & TMd21 & SOL | IC",3.29485623890264
3408,218.895511256502,8,28,28,28,28,"TM & TMd21 & IC | SOL","TM & TMd21 & IC | SOL",3.31379437198271
3393,219.050892675509,8,28,28,28,28,"TM & TMd21 & SOL | IC","TM & TMd21 & IC | SOL",3.46917579098925
3468,219.111166791575,8,28,28,28,28,"TM & SOL | TMd21 & IC","TM & TMd21 & IC | SOL",3.52944990705586
