"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit"
"IC",8,27506,"A: Number of cell events","CD4","number"
"IC",14,70961,"A: Number of cell events","CD4","number"
"IC",28,108751,"A: Number of cell events","CD4","number"
"IC",60,33004,"A: Number of cell events","CD4","number"
"SOL",8,43536,"A: Number of cell events","CD4","number"
"SOL",14,63974,"A: Number of cell events","CD4","number"
"SOL",28,119760.5,"A: Number of cell events","CD4","number"
"SOL",60,31038,"A: Number of cell events","CD4","number"
"TM",8,70453.5,"A: Number of cell events","CD4","number"
"TM",14,63597,"A: Number of cell events","CD4","number"
"TM",28,83532,"A: Number of cell events","CD4","number"
"TM",60,28583,"A: Number of cell events","CD4","number"
"TMd21",8,57607,"A: Number of cell events","CD4","number"
"TMd21",14,86215,"A: Number of cell events","CD4","number"
"TMd21",28,101270,"A: Number of cell events","CD4","number"
"TMd21",60,31061.5,"A: Number of cell events","CD4","number"
"IC",8,966,"B: Number of bead events","CD4","number"
"IC",14,972.5,"B: Number of bead events","CD4","number"
"IC",28,996.5,"B: Number of bead events","CD4","number"
"IC",60,965.5,"B: Number of bead events","CD4","number"
"SOL",8,966.5,"B: Number of bead events","CD4","number"
"SOL",14,981.5,"B: Number of bead events","CD4","number"
"SOL",28,1004.5,"B: Number of bead events","CD4","number"
"SOL",60,969,"B: Number of bead events","CD4","number"
"TM",8,972.5,"B: Number of bead events","CD4","number"
"TM",14,958.5,"B: Number of bead events","CD4","number"
"TM",28,1003.5,"B: Number of bead events","CD4","number"
"TM",60,966.5,"B: Number of bead events","CD4","number"
"TMd21",8,967,"B: Number of bead events","CD4","number"
"TMd21",14,978.5,"B: Number of bead events","CD4","number"
"TMd21",28,998.5,"B: Number of bead events","CD4","number"
"TMd21",60,965,"B: Number of bead events","CD4","number"
"IC",8,32.05,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"IC",14,33.2,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"IC",28,36,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"IC",60,31.6,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"SOL",8,28.95,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"SOL",14,33.85,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"SOL",28,35.2,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"SOL",60,34.4,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TM",8,25.8,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TM",14,34.3,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TM",28,39.15,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TM",60,32.4,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TMd21",8,28.7,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TMd21",14,33.65,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TMd21",28,33.45,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"TMd21",60,33.3,"CD4 T cells (% live lymphocytes)","CD4","percentage"
"IC",8,18,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"IC",14,36.15,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"IC",28,44.2,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"IC",60,46.35,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"SOL",8,12.75,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"SOL",14,30.15,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"SOL",28,40.9,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"SOL",60,41.8,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TM",8,9.455,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TM",14,15.05,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TM",28,28.65,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TM",60,36.85,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TMd21",8,15.1,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TMd21",14,20.1,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TMd21",28,24.1,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"TMd21",60,28.2,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage"
"IC",8,81.1,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"IC",14,64.2,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"IC",28,55.8,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"IC",60,52.5,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"SOL",8,86.55,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"SOL",14,69.45,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"SOL",28,59.1,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"SOL",60,56.5,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TM",8,89.95,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TM",14,85.25,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TM",28,70.9,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TM",60,61.8,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TMd21",8,84.1,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TMd21",14,80.1,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TMd21",28,75.7,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"TMd21",60,71.8,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage"
"IC",8,33.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"IC",14,20,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"IC",28,0,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"IC",60,16.65,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"SOL",8,72.85,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"SOL",14,53.35,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"SOL",28,10.55,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"SOL",60,50.8,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",8,81.45,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",14,74.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",28,32.1,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TM",60,55.75,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",8,64.2,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",14,54.7,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",28,36.65,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
"TMd21",60,22.2,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage"
