"Measurement_type","Cell_Type","Vaccine","Day","Median_fold_change"
"A: Number of cell events","CD4","IC",8,1
"A: Number of cell events","CD4","IC",14,1
"A: Number of cell events","CD4","IC",28,1
"A: Number of cell events","CD4","IC",60,1
"A: Number of cell events","CD4","SOL",8,1
"A: Number of cell events","CD4","SOL",14,1
"A: Number of cell events","CD4","SOL",28,1
"A: Number of cell events","CD4","SOL",60,1
"A: Number of cell events","CD4","TM",8,1
"A: Number of cell events","CD4","TM",14,1
"A: Number of cell events","CD4","TM",28,1
"A: Number of cell events","CD4","TM",60,1
"A: Number of cell events","CD4","TMd21",8,1
"A: Number of cell events","CD4","TMd21",14,1
"A: Number of cell events","CD4","TMd21",28,1
"A: Number of cell events","CD4","TMd21",60,1
"B: Number of bead events","CD4","IC",8,1
"B: Number of bead events","CD4","IC",14,1
"B: Number of bead events","CD4","IC",28,1
"B: Number of bead events","CD4","IC",60,1
"B: Number of bead events","CD4","SOL",8,1
"B: Number of bead events","CD4","SOL",14,1
"B: Number of bead events","CD4","SOL",28,1
"B: Number of bead events","CD4","SOL",60,1
"B: Number of bead events","CD4","TM",8,1
"B: Number of bead events","CD4","TM",14,1
"B: Number of bead events","CD4","TM",28,1
"B: Number of bead events","CD4","TM",60,1
"B: Number of bead events","CD4","TMd21",8,1
"B: Number of bead events","CD4","TMd21",14,1
"B: Number of bead events","CD4","TMd21",28,1
"B: Number of bead events","CD4","TMd21",60,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","IC",8,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","IC",14,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","IC",28,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","IC",60,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","SOL",8,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","SOL",14,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","SOL",28,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","SOL",60,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TM",8,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TM",14,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TM",28,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TM",60,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TMd21",8,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TMd21",14,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TMd21",28,1
"CD127+ CD62L+ CX3CR1- KLRG1- TCM (% tetramer)","CD8","TMd21",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","IC",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","IC",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","IC",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","IC",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","SOL",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","SOL",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","SOL",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","SOL",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TM",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TM",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TM",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TM",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TMd21",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TMd21",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TMd21",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TMd21",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","IC",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","IC",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","IC",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","IC",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","SOL",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","SOL",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","SOL",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","SOL",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TM",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TM",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TM",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TM",60,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TMd21",8,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TMd21",14,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TMd21",28,1
"CD127+ KLRG1- CD62L+ TCF1+ SLAMF6+ Tscm (%TCM)","CD8","TMd21",60,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","IC",60,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","SOL",60,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TM",60,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tscm (% tetramer)","CD8","TMd21",60,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","IC",8,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","IC",28,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","SOL",8,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","SOL",28,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","TM",8,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","TM",28,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","TMd21",8,1
"CD127+ KLRG1- TCF1+ SLAMF6+ Tsl (% tetramer)","CD8","TMd21",28,1
"CD127+ KLRG1- memory (% tetramer)","CD8","IC",8,1
"CD127+ KLRG1- memory (% tetramer)","CD8","IC",14,1
"CD127+ KLRG1- memory (% tetramer)","CD8","IC",28,1
"CD127+ KLRG1- memory (% tetramer)","CD8","IC",60,1
"CD127+ KLRG1- memory (% tetramer)","CD8","SOL",8,1
"CD127+ KLRG1- memory (% tetramer)","CD8","SOL",14,1
"CD127+ KLRG1- memory (% tetramer)","CD8","SOL",28,1
"CD127+ KLRG1- memory (% tetramer)","CD8","SOL",60,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TM",8,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TM",14,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TM",28,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TM",60,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TMd21",8,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TMd21",14,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TMd21",28,1
"CD127+ KLRG1- memory (% tetramer)","CD8","TMd21",60,1
"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","IC",8,1
"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","IC",60,1
"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","SOL",8,1
"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","SOL",60,1
"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","TM",8,1
"CD127+ PD-1+ CXCR5+ KLRG1- TFH like (% tetramer)","CD8","TM",60,1
