"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Median","Normalized"
"IC",8,27506,"A: Number of cell events","CD4","number",8,27506,1
"IC",14,70961,"A: Number of cell events","CD4","number",8,27506,2.57983712644514
"IC",28,108751,"A: Number of cell events","CD4","number",8,27506,3.95371918854068
"IC",60,33004,"A: Number of cell events","CD4","number",8,27506,1.19988366174653
"SOL",8,43536,"A: Number of cell events","CD4","number",8,43536,1
"SOL",14,63974,"A: Number of cell events","CD4","number",8,43536,1.46945056964351
"SOL",28,119760.5,"A: Number of cell events","CD4","number",8,43536,2.75083838662257
"SOL",60,31038,"A: Number of cell events","CD4","number",8,43536,0.712927232635061
"TM",8,70453.5,"A: Number of cell events","CD4","number",8,70453.5,1
"TM",14,63597,"A: Number of cell events","CD4","number",8,70453.5,0.902680491387937
"TM",28,83532,"A: Number of cell events","CD4","number",8,70453.5,1.18563307713598
"TM",60,28583,"A: Number of cell events","CD4","number",8,70453.5,0.405700213616073
"TMd21",8,57607,"A: Number of cell events","CD4","number",8,57607,1
"TMd21",14,86215,"A: Number of cell events","CD4","number",8,57607,1.49660631520475
"TMd21",28,101270,"A: Number of cell events","CD4","number",8,57607,1.75794608294131
"TMd21",60,31061.5,"A: Number of cell events","CD4","number",8,57607,0.539196625410106
"IC",8,966,"B: Number of bead events","CD4","number",8,966,1
"IC",14,972.5,"B: Number of bead events","CD4","number",8,966,1.00672877846791
"IC",28,996.5,"B: Number of bead events","CD4","number",8,966,1.0315734989648
"IC",60,965.5,"B: Number of bead events","CD4","number",8,966,0.999482401656315
"SOL",8,966.5,"B: Number of bead events","CD4","number",8,966.5,1
"SOL",14,981.5,"B: Number of bead events","CD4","number",8,966.5,1.01551991722711
"SOL",28,1004.5,"B: Number of bead events","CD4","number",8,966.5,1.03931712364201
"SOL",60,969,"B: Number of bead events","CD4","number",8,966.5,1.00258665287118
"TM",8,972.5,"B: Number of bead events","CD4","number",8,972.5,1
"TM",14,958.5,"B: Number of bead events","CD4","number",8,972.5,0.98560411311054
"TM",28,1003.5,"B: Number of bead events","CD4","number",8,972.5,1.0318766066838
"TM",60,966.5,"B: Number of bead events","CD4","number",8,972.5,0.993830334190231
"TMd21",8,967,"B: Number of bead events","CD4","number",8,967,1
"TMd21",14,978.5,"B: Number of bead events","CD4","number",8,967,1.01189245087901
"TMd21",28,998.5,"B: Number of bead events","CD4","number",8,967,1.03257497414685
"TMd21",60,965,"B: Number of bead events","CD4","number",8,967,0.997931747673216
"IC",8,32.05,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.05,1
"IC",14,33.2,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.05,1.03588143525741
"IC",28,36,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.05,1.12324492979719
"IC",60,31.6,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.05,0.985959438377535
