"Vaccine","Day","Value","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Value","normalised"
"IC",8,31631.6666666667,"A: Number of cell events","CD4","number",8,31631.6666666667,1
"IC",14,84629.9166666667,"A: Number of cell events","CD4","number",8,31631.6666666667,2.67548079456241
"IC",28,126107,"A: Number of cell events","CD4","number",8,31631.6666666667,3.98673270456821
"IC",60,31806.0833333333,"A: Number of cell events","CD4","number",8,31631.6666666667,1.0055139891459
"SOL",8,41385.3333333333,"A: Number of cell events","CD4","number",8,41385.3333333333,1
"SOL",14,74102.3333333333,"A: Number of cell events","CD4","number",8,41385.3333333333,1.79054576500532
"SOL",28,113389.333333333,"A: Number of cell events","CD4","number",8,41385.3333333333,2.73984342279068
"SOL",60,31496.3333333333,"A: Number of cell events","CD4","number",8,41385.3333333333,0.761050613743999
"TM",8,78924.8333333333,"A: Number of cell events","CD4","number",8,78924.8333333333,1
"TM",14,99548.1666666667,"A: Number of cell events","CD4","number",8,78924.8333333333,1.26130347651457
"TM",28,92056.3333333333,"A: Number of cell events","CD4","number",8,78924.8333333333,1.1663798255302
"TM",60,30384.8333333333,"A: Number of cell events","CD4","number",8,78924.8333333333,0.384984447227214
"TMd21",8,54176.6666666667,"A: Number of cell events","CD4","number",8,54176.6666666667,1
"TMd21",14,92234.4166666667,"A: Number of cell events","CD4","number",8,54176.6666666667,1.70247492770565
"TMd21",28,99647.3333333333,"A: Number of cell events","CD4","number",8,54176.6666666667,1.83930351319756
"TMd21",60,35274.3333333333,"A: Number of cell events","CD4","number",8,54176.6666666667,0.651098258782994
"IC",8,964,"B: Number of bead events","CD4","number",8,964,1
"IC",14,974.583333333333,"B: Number of bead events","CD4","number",8,964,1.0109785615491
"IC",28,993,"B: Number of bead events","CD4","number",8,964,1.03008298755187
"IC",60,965.5,"B: Number of bead events","CD4","number",8,964,1.00155601659751
"SOL",8,967.166666666667,"B: Number of bead events","CD4","number",8,967.166666666667,1
"SOL",14,978.833333333333,"B: Number of bead events","CD4","number",8,967.166666666667,1.01206272617612
"SOL",28,1004.33333333333,"B: Number of bead events","CD4","number",8,967.166666666667,1.03842839910391
"SOL",60,968.333333333333,"B: Number of bead events","CD4","number",8,967.166666666667,1.00120627261761
"TM",8,975.333333333333,"B: Number of bead events","CD4","number",8,975.333333333333,1
"TM",14,1045.83333333333,"B: Number of bead events","CD4","number",8,975.333333333333,1.07228298017772
"TM",28,962.666666666667,"B: Number of bead events","CD4","number",8,975.333333333333,0.987012987012987
"TM",60,974.833333333333,"B: Number of bead events","CD4","number",8,975.333333333333,0.999487354750513
"TMd21",8,965.5,"B: Number of bead events","CD4","number",8,965.5,1
"TMd21",14,1047,"B: Number of bead events","CD4","number",8,965.5,1.08441222164682
"TMd21",28,998.333333333333,"B: Number of bead events","CD4","number",8,965.5,1.03400655964095
"TMd21",60,964.75,"B: Number of bead events","CD4","number",8,965.5,0.999223200414293
"IC",8,32.2833333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.2833333333333,1
"IC",14,33.3166666666667,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.2833333333333,1.03200826019618
"IC",28,35.5333333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.2833333333333,1.1006711409396
"IC",60,31.3916666666667,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,32.2833333333333,0.972379969024264
"SOL",8,29.3333333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,29.3333333333333,1
"SOL",14,34.0166666666667,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,29.3333333333333,1.15965909090909
"SOL",28,34.95,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,29.3333333333333,1.19147727272727
"SOL",60,34.0916666666667,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,29.3333333333333,1.16221590909091
"TM",8,26.7333333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,26.7333333333333,1
"TM",14,34.4083333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,26.7333333333333,1.28709476309227
"TM",28,37.75,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,26.7333333333333,1.41209476309227
"TM",60,32.0166666666667,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,26.7333333333333,1.19763092269327
"TMd21",8,27.6333333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,27.6333333333333,1
"TMd21",14,33.7583333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,27.6333333333333,1.22165259348613
"TMd21",28,34.6333333333333,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,27.6333333333333,1.25331724969843
"TMd21",60,33.2666666666667,"CD4 T cells (% live lymphocytes)","CD4","percentage",8,27.6333333333333,1.20386007237636
"IC",8,20.35,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,20.35,1
"IC",14,33.0833333333333,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,20.35,1.62571662571663
"IC",28,42.6333333333333,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,20.35,2.09500409500409
"IC",60,46.6666666666667,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,20.35,2.29320229320229
"SOL",8,12.7,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,12.7,1
"SOL",14,31.7166666666667,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,12.7,2.49737532808399
"SOL",28,39.7666666666667,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,12.7,3.13123359580052
"SOL",60,41.3583333333333,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,12.7,3.25656167979003
"TM",8,10.52,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,10.52,1
"TM",14,16.045,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,10.52,1.52519011406844
"TM",28,29.1833333333333,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,10.52,2.77408111533587
"TM",60,33.9916666666667,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,10.52,3.23114702154626
"TMd21",8,14.54,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,14.54,1
"TMd21",14,18.7958333333333,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,14.54,1.29269830353049
"TMd21",28,27.0166666666667,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,14.54,1.85809261806511
"TMd21",60,32.1166666666667,"CD44+ CD62L+ TCM (% tetramer)","CD4","percentage",8,14.54,2.20884915176525
"IC",8,79.1666666666667,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,79.1666666666667,1
"IC",14,67.0583333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,79.1666666666667,0.847052631578947
"IC",28,57.3666666666667,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,79.1666666666667,0.724631578947368
"IC",60,52.6583333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,79.1666666666667,0.665157894736842
"SOL",8,86.6166666666667,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,86.6166666666667,1
"SOL",14,68.2916666666667,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,86.6166666666667,0.788435635943814
"SOL",28,60.2333333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,86.6166666666667,0.695401192995959
"SOL",60,58.0833333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,86.6166666666667,0.670579180296325
"TM",8,88.8666666666667,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,88.8666666666667,1
"TM",14,84.0083333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,88.8666666666667,0.94533008252063
"TM",28,70.6666666666667,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,88.8666666666667,0.795198799699925
"TM",60,65.0083333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,88.8666666666667,0.731526631657914
"TMd21",8,84.75,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.75,1
"TMd21",14,81.2833333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.75,0.959095378564405
"TMd21",28,72.8,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.75,0.858997050147493
"TMd21",60,67.6833333333333,"CD44+ CD62L- TEM (% tetramer)","CD4","percentage",8,84.75,0.798623402163225
"IC",8,33.2833333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.2833333333333,1
"IC",14,19.6083333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.2833333333333,0.589133700550826
"IC",28,22.2166666666667,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.2833333333333,0.667501251877817
"IC",60,28.3333333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,33.2833333333333,0.85127691537306
"SOL",8,71.8666666666667,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,71.8666666666667,1
"SOL",14,52.25,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,71.8666666666667,0.727040816326531
"SOL",28,14.1833333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,71.8666666666667,0.197356215213358
"SOL",60,53.2583333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,71.8666666666667,0.741071428571428
"TM",8,80.1,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,80.1,1
"TM",14,74.3833333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,80.1,0.928630878069081
"TM",28,36.3333333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,80.1,0.453599667082813
"TM",60,47.625,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,80.1,0.594569288389513
"TMd21",8,67.0666666666667,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,67.0666666666667,1
"TMd21",14,56.55,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,67.0666666666667,0.843190854870775
"TMd21",28,35.0833333333333,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,67.0666666666667,0.523111332007952
"TMd21",60,35.6416666666667,"CXCR3+ CCR6- Th1 (% Teff)","CD4","percentage",8,67.0666666666667,0.531436381709742
"IC",8,2.06166666666667,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.06166666666667,1
"IC",14,1.27666666666667,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.06166666666667,0.619240097008892
"IC",28,1.3,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.06166666666667,0.630557801131771
"IC",60,1.62666666666667,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.06166666666667,0.789005658852062
"SOL",8,3.11833333333333,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.11833333333333,1
"SOL",14,4.7325,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.11833333333333,1.51763762693747
"SOL",28,1.62,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.11833333333333,0.519508284339925
"SOL",60,6.10333333333333,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,3.11833333333333,1.95724211651523
"TM",8,2.45166666666667,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.45166666666667,1
"TM",14,3.97083333333333,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.45166666666667,1.61964649898029
"TM",28,3.53833333333333,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.45166666666667,1.44323589394969
"TM",60,4.785,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.45166666666667,1.95173351461591
"TMd21",8,2.51,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.51,1
"TMd21",14,1.93833333333333,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.51,0.772244355909695
"TMd21",28,2.695,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.51,1.07370517928287
"TMd21",60,1.6475,"CXCR3+ CCR6- Th1 (% tetramer)","CD4","percentage",8,2.51,0.656374501992032
"IC",8,8.61666666666667,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,8.61666666666667,1
"IC",14,2.775,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,8.61666666666667,0.322050290135396
"IC",28,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,8.61666666666667,0
"IC",60,5.83333333333333,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,8.61666666666667,0.676982591876209
"SOL",8,0.861666666666667,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.861666666666667,1
"SOL",14,0.818333333333333,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.861666666666667,0.949709864603482
"SOL",28,0,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.861666666666667,0
"SOL",60,2.775,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.861666666666667,3.22050290135396
"TM",8,0.548333333333333,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.548333333333333,1
"TM",14,1.26666666666667,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.548333333333333,2.31003039513678
"TM",28,0.695,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.548333333333333,1.26747720364742
"TM",60,2.3325,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,0.548333333333333,4.25379939209726
"TMd21",8,2.085,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,2.085,1
"TMd21",14,0.705,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,2.085,0.338129496402878
"TMd21",28,4.60666666666667,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,2.085,2.20943245403677
"TMd21",60,10,"CXCR3- CCR6+ Th17 (% Teff)","CD4","percentage",8,2.085,4.79616306954436
"IC",8,0.46,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.46,1
"IC",14,0.3475,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.46,0.755434782608696
"IC",28,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.46,0
"IC",60,0.318333333333333,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.46,0.692028985507246
"SOL",8,0.0266666666666667,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0266666666666667,1
"SOL",14,0.125833333333333,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0266666666666667,4.71875
"SOL",28,0,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0266666666666667,0
"SOL",60,0.0908333333333333,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0266666666666667,3.40625
"TM",8,0.0176666666666667,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0176666666666667,1
"TM",14,0.0625,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0176666666666667,3.5377358490566
"TM",28,0.0616666666666667,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0176666666666667,3.49056603773585
"TM",60,0.435,"CXCR3- CCR6+ Th17 (% tetramer)","CD4","percentage",8,0.0176666666666667,24.622641509434
